                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8511,                 2.7772,                 1.8282,                0.48074,                0.42589,                0.40984,                0.14341,                 2.2616,                 2.6132,                 2.3516,               0.070058,              0.0033269,              0.0033269
                      2,                 1.6996,                 2.0228,                 1.6851,                0.56159,                0.53204,                 0.4973,                0.19344,                  2.099,                 2.1873,                 2.1196,               0.039926,              0.0065283,              0.0065283
                      3,                 1.6976,                 1.9345,                 1.7127,                0.55328,                0.49234,                0.49258,                 0.1792,                 2.3009,                 2.0608,                 2.3171,              0.0096625,              0.0095978,              0.0095978
                      4,                   1.75,                 1.8771,                 1.7258,                0.51308,                0.46643,                0.43872,                0.15701,                 2.4079,                 2.1459,                 2.4364,               0.009406,               0.009406,               0.009406
                      5,                 1.7176,                 1.8147,                 1.7088,                0.50621,                0.50193,                0.49114,                0.18678,                 2.3324,                  2.007,                 2.3618,               0.009406,               0.009406,               0.009406
                      6,                 1.6763,                 1.7365,                 1.6981,                0.61984,                0.54751,                0.57396,                0.21321,                 2.2388,                 1.8596,                 2.2751,               0.009208,               0.009208,               0.009208
                      7,                 1.6476,                 1.6397,                 1.6482,                0.58237,                0.52234,                 0.5471,                0.20062,                 2.3514,                  1.799,                 2.3702,                0.00901,                0.00901,                0.00901
                      8,                 1.6342,                 1.5903,                 1.6234,                0.62584,                0.58144,                0.61125,                0.23856,                 2.2546,                 1.6447,                 2.2058,               0.008812,               0.008812,               0.008812
                      9,                 1.6181,                 1.5464,                 1.6114,                0.63106,                0.57793,                 0.6017,                0.21433,                 2.4315,                 1.7211,                 2.4421,               0.008614,               0.008614,               0.008614
                     10,                 1.5696,                 1.4901,                  1.582,                0.67486,                0.60339,                 0.6278,                0.25809,                 2.1841,                 1.6299,                 2.1515,               0.008416,               0.008416,               0.008416
                     11,                 1.5483,                 1.4532,                 1.5617,                0.63629,                0.65577,                0.62871,                 0.2371,                 2.2367,                 1.5937,                 2.2322,               0.008218,               0.008218,               0.008218
                     12,                 1.5166,                 1.4082,                 1.5407,                0.58754,                0.64238,                0.59338,                  0.224,                 2.2908,                 1.6516,                 2.3839,                0.00802,                0.00802,                0.00802
                     13,                 1.5201,                 1.3907,                  1.533,                0.63259,                0.61656,                0.61227,                0.25018,                 2.1825,                 1.6634,                  2.187,               0.007822,               0.007822,               0.007822
                     14,                 1.4838,                  1.351,                 1.5206,                0.71108,                0.63982,                0.65619,                0.25498,                 2.2304,                 1.5689,                 2.1829,               0.007624,               0.007624,               0.007624
                     15,                  1.462,                 1.3165,                 1.5075,                0.65401,                0.59252,                0.62739,                0.25816,                 2.1882,                 1.5985,                 2.1787,               0.007426,               0.007426,               0.007426
                     16,                 1.4554,                 1.3003,                 1.4865,                0.69783,                0.65769,                0.66926,                0.27465,                  2.194,                 1.4441,                 2.2034,               0.007228,               0.007228,               0.007228
                     17,                 1.4299,                 1.2702,                 1.4803,                0.62522,                0.63672,                0.61492,                0.23606,                 2.3103,                 1.6107,                 2.3167,                0.00703,                0.00703,                0.00703
                     18,                 1.4215,                 1.2485,                 1.4634,                0.69203,                0.68196,                0.66198,                0.26314,                  2.242,                 1.4765,                 2.2203,               0.006832,               0.006832,               0.006832
                     19,                 1.3873,                 1.2269,                  1.443,                0.66376,                0.62469,                0.61795,                0.23912,                 2.3244,                 1.5493,                 2.3397,               0.006634,               0.006634,               0.006634
                     20,                  1.392,                 1.2202,                 1.4528,                0.64015,                0.63833,                0.63997,                0.25426,                 2.2569,                 1.5164,                 2.2727,               0.006436,               0.006436,               0.006436
                     21,                 1.3863,                 1.1887,                 1.4374,                0.67534,                 0.6151,                0.62588,                0.25489,                 2.2227,                 1.5193,                 2.2179,               0.006238,               0.006238,               0.006238
                     22,                 1.3604,                 1.1614,                  1.427,                0.63124,                0.66164,                0.62599,                0.25607,                 2.2441,                 1.5501,                 2.1976,                0.00604,                0.00604,                0.00604
                     23,                 1.3485,                 1.1513,                 1.4042,                0.66027,                0.61223,                  0.626,                0.25438,                  2.252,                 1.5318,                 2.2272,               0.005842,               0.005842,               0.005842
                     24,                 1.3557,                 1.1522,                 1.4174,                0.66995,                0.66164,                 0.6234,                0.24653,                  2.269,                 1.4769,                 2.2638,               0.005644,               0.005644,               0.005644
                     25,                   1.32,                   1.11,                 1.3933,                0.66081,                0.66395,                0.62419,                0.25449,                 2.2282,                 1.5337,                  2.236,               0.005446,               0.005446,               0.005446
                     26,                 1.3082,                  1.089,                 1.3753,                0.69606,                 0.6738,                 0.6668,                0.26759,                 2.2404,                 1.4841,                 2.1964,               0.005248,               0.005248,               0.005248
                     27,                 1.2929,                 1.0811,                 1.3713,                0.64585,                 0.6788,                0.62417,                0.26414,                 2.2256,                 1.4448,                 2.2467,                0.00505,                0.00505,                0.00505
                     28,                 1.2888,                 1.0721,                 1.3697,                0.68321,                0.71173,                0.66887,                0.29456,                 2.1296,                 1.3586,                 2.1351,               0.004852,               0.004852,               0.004852
                     29,                 1.2771,                 1.0519,                 1.3615,                0.66893,                0.70247,                0.67366,                0.28453,                 2.2308,                  1.385,                 2.2308,               0.004654,               0.004654,               0.004654
                     30,                 1.2744,                 1.0421,                 1.3544,                0.69382,                0.66753,                0.66026,                0.26745,                 2.2438,                 1.4574,                 2.2498,               0.004456,               0.004456,               0.004456
                     31,                 1.2275,                0.99446,                 1.3292,                0.67981,                0.71957,                0.69763,                 0.2878,                 2.1738,                 1.3274,                 2.1516,               0.004258,               0.004258,               0.004258
                     32,                 1.2457,                 1.0046,                 1.3408,                0.69656,                0.70619,                0.67341,                0.29377,                 2.1248,                 1.3475,                  2.087,                0.00406,                0.00406,                0.00406
                     33,                 1.2129,                0.99001,                 1.3235,                 0.7162,                0.67627,                0.67404,                0.27656,                 2.2205,                 1.4646,                 2.2231,               0.003862,               0.003862,               0.003862
                     34,                 1.1994,                0.99051,                 1.3161,                0.71227,                0.70986,                 0.6979,                0.30126,                 2.1396,                 1.3095,                 2.1457,               0.003664,               0.003664,               0.003664
                     35,                 1.2023,                0.95419,                 1.3112,                0.74304,                0.71684,                0.71522,                0.30089,                 2.1726,                 1.3438,                 2.1662,               0.003466,               0.003466,               0.003466
                     36,                 1.1968,                0.95948,                 1.3118,                0.74898,                 0.6803,                0.68663,                0.29033,                 2.2033,                 1.3317,                 2.1902,               0.003268,               0.003268,               0.003268
                     37,                 1.1727,                0.94108,                 1.2941,                0.76389,                0.71016,                0.69282,                0.29691,                 2.1815,                 1.3347,                 2.1528,                0.00307,                0.00307,                0.00307
                     38,                 1.1551,                0.91349,                 1.2836,                0.73443,                0.68975,                0.69708,                 0.3124,                 2.1132,                 1.3139,                 2.1073,               0.002872,               0.002872,               0.002872
                     39,                  1.142,                 0.9065,                 1.2767,                0.72666,                0.71028,                0.69224,                0.30251,                 2.1599,                 1.3175,                 2.1345,               0.002674,               0.002674,               0.002674
                     40,                   1.14,                0.90474,                 1.2779,                0.73684,                0.73173,                0.68911,                0.30274,                 2.1571,                 1.3541,                 2.1309,               0.002476,               0.002476,               0.002476
                     41,                 1.0979,                0.79215,                 1.2896,                0.70534,                0.72454,                 0.7106,                0.30163,                 2.1863,                 1.3197,                 2.1518,               0.002278,               0.002278,               0.002278
                     42,                 1.0658,                0.75188,                 1.2593,                0.69074,                0.71479,                0.68555,                 0.3055,                 2.1369,                  1.325,                 2.1236,                0.00208,                0.00208,                0.00208
                     43,                 1.0581,                0.73636,                  1.259,                0.73515,                0.72317,                0.69946,                0.30439,                 2.1608,                 1.3318,                 2.1609,               0.001882,               0.001882,               0.001882
                     44,                 1.0258,                0.72363,                 1.2368,                0.71444,                0.71866,                 0.6879,                0.29918,                 2.1847,                 1.3243,                 2.2139,               0.001684,               0.001684,               0.001684
                     45,                 1.0064,                0.71221,                 1.2248,                0.72148,                0.71681,                0.70208,                0.29727,                 2.1681,                 1.3257,                 2.1789,               0.001486,               0.001486,               0.001486
                     46,                 1.0034,                0.69035,                 1.2172,                0.75771,                0.72655,                0.70941,                0.30601,                 2.1957,                  1.261,                 2.1949,               0.001288,               0.001288,               0.001288
                     47,                  0.992,                0.67999,                 1.1999,                0.76441,                0.70971,                0.70285,                 0.3099,                 2.1709,                 1.3068,                 2.1742,                0.00109,                0.00109,                0.00109
                     48,                0.97728,                0.66027,                  1.188,                0.77945,                0.70347,                0.70622,                0.31454,                 2.1717,                  1.325,                 2.1553,               0.000892,               0.000892,               0.000892
                     49,                 0.9652,                0.66456,                  1.187,                0.75817,                 0.7222,                0.71221,                0.31093,                 2.1823,                 1.2918,                 2.1522,               0.000694,               0.000694,               0.000694
                     50,                0.95625,                0.65867,                 1.1783,                 0.7394,                0.70001,                0.69311,                0.30432,                 2.2088,                 1.3063,                 2.2024,               0.000496,               0.000496,               0.000496
